Time (s),Raw Altitude (m),Filtered Altitude (m),Speed (m/s),Z Acceleration (m/s^2),Events,Actions
124.85,89.87,89.70,-8.39,22.56,"",""
124.90,88.99,89.14,-11.10,-54.23,"",""
124.95,88.53,88.61,-10.58,10.49,"",""
125.00,87.77,88.02,-11.99,-28.24,"",""
125.05,87.53,87.52,-9.91,41.67,"",""
125.10,87.25,87.09,-8.61,25.90,"",""
125.15,87.32,86.81,-5.56,61.03,"",""
125.20,87.28,86.61,-3.98,31.61,"",""
125.25,87.35,86.50,-2.17,36.28,"",""
125.30,87.45,86.47,-0.66,30.07,"",""
125.35,87.28,86.41,-1.19,-10.56,"",""
125.40,87.38,86.41,0.03,24.35,"",""
125.45,87.43,86.44,0.61,11.64,"",""
125.50,86.91,86.32,-2.40,-60.14,"",""
125.55,86.75,86.20,-2.46,-1.30,"",""
125.60,86.11,85.93,-5.40,-58.73,"",""
125.65,86.53,85.87,-1.21,83.87,"",""
125.70,86.47,85.82,-1.01,3.99,"",""
125.75,86.16,85.70,-2.37,-27.27,"",""
125.80,85.66,85.48,-4.52,-43.04,"",""
125.85,85.94,85.40,-1.43,61.83,"",""
125.90,84.99,85.08,-6.54,-102.21,"",""
125.95,84.57,84.72,-7.12,-11.68,"",""
126.00,85.02,84.60,-2.33,95.84,"",""
126.05,84.45,84.36,-4.93,-51.91,"",""
126.10,83.76,83.98,-7.56,-52.68,"",""
126.15,82.38,83.30,-13.64,-121.55,"",""
126.20,81.06,82.41,-17.74,-82.07,"",""
126.25,80.63,81.64,-15.41,46.75,"",""
126.30,79.83,80.85,-15.89,-9.63,"",""
126.35,79.38,80.14,-14.13,35.22,"",""
126.40,78.43,79.35,-15.82,-33.81,"",""
126.45,77.72,78.57,-15.61,4.18,"",""
126.50,77.49,77.94,-12.56,60.95,"",""
126.55,77.04,77.36,-11.63,18.65,"",""
126.60,76.76,76.86,-9.91,34.24,"",""
126.65,76.41,76.41,-9.07,16.87,"",""
126.70,75.93,75.95,-9.23,-3.17,"",""
126.75,75.53,75.51,-8.87,7.27,"",""
126.80,75.09,75.06,-8.84,0.55,"",""
126.85,74.66,74.63,-8.76,1.60,"",""
126.90,74.18,74.18,-9.00,-4.84,"",""
126.95,73.80,73.75,-8.58,8.44,"",""
127.00,73.51,73.36,-7.73,17.00,"",""
127.05,72.88,72.90,-9.15,-28.32,"",""
127.10,72.42,72.44,-9.17,-0.46,"",""
127.15,72.06,72.01,-8.59,11.67,"",""
127.20,71.37,71.51,-10.14,-31.02,"",""
127.25,70.42,70.87,-12.84,-54.01,"",""
127.30,69.88,70.25,-12.36,9.54,"",""
127.35,69.19,69.60,-12.90,-10.85,"",""
127.40,68.50,68.94,-13.30,-7.87,"",""
127.45,67.64,68.21,-14.60,-26.06,"",""
127.50,67.15,67.54,-13.33,25.38,"",""
127.55,66.83,66.97,-11.37,39.22,"",""
127.60,66.51,66.48,-9.92,28.95,"",""
127.65,66.66,66.18,-6.03,77.72,"",""
127.70,65.95,65.76,-8.34,-46.09,"",""
127.75,65.58,65.36,-8.00,6.78,"",""
127.80,65.27,64.99,-7.39,12.13,"",""
127.85,65.11,64.69,-6.05,26.85,"",""
127.90,65.05,64.46,-4.47,31.65,"",""
127.95,64.59,64.18,-5.71,-24.87,"",""
128.00,64.71,64.02,-3.15,51.15,"",""
128.05,64.51,63.86,-3.20,-0.93,"",""
128.10,64.17,63.66,-4.09,-17.69,"",""
128.15,64.30,63.56,-1.93,43.20,"",""
128.20,63.48,63.26,-6.05,-82.40,"",""
128.25,63.43,63.03,-4.47,31.61,"",""
128.30,63.33,62.85,-3.61,17.17,"",""
128.35,63.07,62.66,-3.94,-6.70,"",""
128.40,62.56,62.37,-5.69,-35.07,"",""
128.45,62.19,62.06,-6.15,-9.10,"",""
128.50,61.25,61.57,-9.91,-75.14,"",""
128.55,60.90,61.11,-9.13,15.53,"",""
128.60,60.34,60.62,-9.82,-13.69,"",""
128.65,59.17,59.92,-13.97,-83.20,"",""
128.70,58.27,59.15,-15.41,-28.67,"",""
128.75,57.91,58.49,-13.21,43.96,"",""
128.80,57.43,57.88,-12.30,18.17,"",""
128.85,56.87,57.27,-12.11,3.93,"",""
128.90,56.16,56.63,-12.85,-14.98,"",""
128.95,55.62,56.01,-12.38,9.51,"",""
129.00,54.95,55.37,-12.80,-8.47,"",""
129.05,54.42,54.76,-12.27,10.69,"",""
129.10,53.75,54.12,-12.71,-8.81,"",""
129.15,53.63,53.63,-9.73,59.62,"",""
129.20,53.16,53.15,-9.63,1.93,"",""
129.25,53.03,52.78,-7.52,42.22,"",""
129.30,52.76,52.44,-6.81,14.23,"",""
129.35,52.83,52.22,-4.25,51.18,"",""
129.40,52.51,51.99,-4.71,-9.28,"",""
129.45,52.74,51.90,-1.76,59.00,"",""
129.50,53.06,51.95,0.94,54.01,"",""
129.55,52.97,51.97,0.45,-9.76,"",""
129.60,52.85,51.96,-0.10,-11.10,"",""
129.65,52.47,51.86,-2.09,-39.66,"",""
129.70,52.14,51.70,-3.26,-23.42,"",""
129.75,51.69,51.46,-4.85,-31.79,"",""
129.80,51.15,51.13,-6.56,-34.30,"",""
129.85,50.15,50.60,-10.59,-80.48,"",""
129.90,50.27,50.26,-6.83,75.24,"",""
129.95,49.66,49.83,-8.43,-32.17,"",""
130.00,49.23,49.41,-8.54,-2.05,"",""
130.05,48.56,48.91,-10.05,-30.25,"",""
130.10,48.61,48.56,-6.84,64.22,"",""
130.15,48.73,48.36,-4.05,55.70,"",""
130.20,48.19,48.06,-5.97,-38.27,"",""
130.25,48.07,47.82,-4.86,22.16,"",""
130.30,46.94,47.31,-10.11,-104.95,"",""
130.35,46.21,46.74,-11.57,-29.21,"",""
130.40,46.00,46.26,-9.51,41.04,"",""
130.45,45.24,45.70,-11.30,-35.68,"",""
130.50,44.80,45.16,-10.69,12.26,"",""
130.55,43.69,44.45,-14.25,-71.26,"",""
130.60,42.86,43.69,-15.18,-18.66,"",""
130.65,41.72,42.80,-17.72,-50.69,"",""
130.70,40.91,41.92,-17.59,2.59,"",""
130.75,40.51,41.17,-15.01,51.43,"",""
130.80,40.39,40.60,-11.43,71.71,"",""
130.85,40.02,40.09,-10.28,22.90,"",""
130.90,39.72,39.64,-9.02,25.30,"",""
130.95,39.64,39.30,-6.77,45.01,"",""
131.00,39.37,38.99,-6.26,10.26,"",""
131.05,38.88,38.63,-7.20,-18.96,"",""
131.10,38.35,38.22,-8.15,-18.85,"",""
131.15,37.79,37.77,-9.02,-17.53,"",""
131.20,37.37,37.33,-8.83,3.87,"",""
131.25,36.46,36.74,-11.63,-55.96,"",""
131.30,36.08,36.22,-10.50,22.46,"",""
131.35,36.97,36.12,-2.05,168.99,"",""
131.40,37.41,36.19,1.46,70.25,"",""
131.45,37.99,36.43,4.87,68.18,"",""
131.50,38.16,36.68,4.89,0.54,"",""
131.55,38.63,37.01,6.69,35.93,"",""
131.60,39.01,37.38,7.45,15.17,"",""
131.65,37.11,37.10,-5.70,-262.94,"",""
131.70,36.84,36.82,-5.61,1.85,"",""
131.75,36.98,36.67,-3.08,50.56,"",""
131.80,36.61,36.45,-4.28,-24.05,"",""
131.85,35.64,36.01,-8.77,-89.77,"",""
131.90,35.28,35.59,-8.41,7.17,"",""
131.95,35.13,35.25,-6.88,30.58,"",""
132.00,34.90,34.94,-6.23,12.97,"",""
132.05,34.30,34.54,-7.97,-34.83,"",""
132.10,33.33,33.96,-11.47,-69.99,"",""
132.15,32.52,33.31,-13.08,-32.17,"",""
132.20,31.55,32.55,-15.21,-42.65,"",""
132.25,30.79,31.77,-15.51,-5.91,"",""
132.30,30.33,31.08,-13.91,31.95,"",""
132.35,29.39,30.30,-15.60,-33.82,"",""
132.40,28.68,29.53,-15.45,2.97,"",""
132.45,28.17,28.82,-14.13,26.45,"",""
132.50,27.92,28.24,-11.59,50.90,"",""
132.55,27.51,27.71,-10.67,18.40,"",""
132.60,27.65,27.37,-6.69,79.62,"",""
132.65,27.10,26.98,-7.90,-24.22,"",""
132.70,26.49,26.52,-9.15,-25.08,"",""
132.75,26.13,26.09,-8.57,11.53,"",""
132.80,26.21,25.82,-5.51,61.28,"",""
132.85,25.42,25.39,-8.48,-59.37,"",""
132.90,24.94,24.95,-8.81,-6.56,"",""
132.95,23.79,24.30,-13.07,-85.23,"",""
133.00,23.53,23.75,-10.86,44.16,"",""
133.05,22.92,23.19,-11.33,-9.39,"",""
133.10,22.61,22.69,-9.87,29.17,"",""
133.15,21.89,22.13,-11.26,-27.68,"",""
133.20,21.97,21.76,-7.47,75.68,"",""
133.25,21.80,21.45,-6.19,25.70,"",""
133.30,21.84,21.25,-3.99,44.02,"",""
133.35,21.78,21.10,-2.97,20.25,"",""
133.40,21.45,20.91,-3.86,-17.69,"",""
133.45,21.09,20.67,-4.70,-16.81,"",""
133.50,20.78,20.42,-5.02,-6.52,"",""
133.55,20.78,20.25,-3.41,32.29,"",""
133.60,20.53,20.07,-3.73,-6.38,"",""
133.65,20.48,19.93,-2.77,19.15,"",""
133.70,20.71,19.91,-0.39,47.54,"",""
133.75,20.74,19.91,0.15,10.78,"",""
133.80,20.25,19.79,-2.59,-54.72,"",""
133.85,20.43,19.76,-0.59,39.93,"",""
133.90,20.19,19.67,-1.65,-21.19,"",""
133.95,20.58,19.74,1.34,59.82,"",""
134.00,20.41,19.75,0.17,-23.38,"",""
134.05,19.56,19.51,-4.78,-99.04,"",""
134.10,19.79,19.41,-1.95,56.61,"",""
134.15,19.66,19.31,-2.03,-1.61,"",""
134.20,19.73,19.26,-0.90,22.70,"",""
134.25,19.44,19.15,-2.23,-26.62,"",""
134.30,18.94,18.93,-4.47,-44.90,"",""
134.35,18.42,18.62,-6.25,-35.49,"",""
134.40,18.18,18.32,-5.87,7.51,"",""
134.45,17.85,18.02,-6.13,-5.22,"",""
134.50,17.53,17.70,-6.26,-2.59,"",""
134.55,16.98,17.32,-7.74,-29.46,"",""
134.60,16.38,16.86,-9.12,-27.60,"",""
134.65,16.21,16.48,-7.55,31.42,"",""
134.70,15.85,16.11,-7.52,0.44,"",""
134.75,15.26,15.66,-8.88,-27.20,"",""
134.80,14.68,15.17,-9.82,-18.71,"",""
134.85,14.20,14.68,-9.90,-1.63,"",""
134.90,13.73,14.18,-9.89,0.15,"",""
134.95,13.25,13.69,-9.94,-0.95,"",""
135.00,13.13,13.29,-7.81,42.64,"",""
135.05,12.55,12.84,-9.00,-23.73,"",""
135.10,12.13,12.40,-8.91,1.81,"",""
135.15,12.21,12.11,-5.83,61.42,"",""
135.20,11.66,11.74,-7.35,-30.38,"",""
135.25,11.71,11.50,-4.87,49.64,"",""
135.30,11.28,11.20,-5.93,-21.09,"",""
135.35,10.91,10.88,-6.34,-8.36,"",""
135.40,11.08,10.71,-3.41,58.63,"",""
135.45,11.09,10.60,-2.22,23.88,"",""
135.50,10.54,10.37,-4.71,-49.76,"",""
135.55,9.91,10.02,-7.02,-46.32,"",""
135.60,9.72,9.71,-6.09,18.70,"",""
135.65,9.56,9.45,-5.22,17.38,"",""
135.70,9.60,9.28,-3.38,36.77,"",""
135.75,9.62,9.17,-2.15,24.59,"",""
135.80,9.86,9.18,0.07,44.38,"",""
135.85,10.38,9.35,3.37,66.09,"",""
135.90,10.33,9.46,2.37,-20.03,"",""
135.95,9.81,9.40,-1.20,-71.43,"",""
136.00,9.68,9.33,-1.50,-5.96,"",""
136.05,9.43,9.21,-2.44,-18.91,"",""
136.10,9.66,9.19,-0.26,43.60,"",""
136.15,9.66,9.19,-0.04,4.38,"",""
136.20,9.47,9.14,-1.03,-19.72,"",""
136.25,9.09,8.99,-2.90,-37.44,"",""
136.30,8.23,8.64,-7.16,-85.21,"",""
136.35,8.74,8.53,-2.08,101.74,"",""
136.40,8.03,8.25,-5.65,-71.50,"",""
136.45,7.25,7.82,-8.70,-61.01,"",""
136.50,7.42,7.55,-5.24,69.22,"",""
136.55,6.67,7.14,-8.21,-59.35,"",""
136.60,7.25,7.02,-2.41,116.02,"",""
136.65,6.29,6.65,-7.38,-99.39,"",""
136.70,5.82,6.25,-8.09,-14.32,"",""
136.75,4.85,5.67,-11.61,-70.41,"",""
136.80,5.12,5.33,-6.76,97.17,"",""
136.85,5.30,5.14,-3.71,60.87,"",""
136.90,3.78,4.56,-11.67,-159.20,"",""
136.95,3.99,4.20,-7.14,90.54,"",""
137.00,4.44,4.09,-2.37,95.58,"",""
137.05,4.40,4.00,-1.79,11.52,"",""
137.10,3.36,3.63,-7.37,-111.64,"",""
137.15,3.64,3.45,-3.56,76.22,"",""
137.20,3.75,3.36,-1.78,35.70,"",""
137.25,2.83,3.03,-6.65,-97.41,"",""
137.30,2.31,2.64,-7.83,-23.72,"",""
137.35,2.14,2.31,-6.60,24.63,"",""
137.40,2.01,2.03,-5.45,23.00,"",""
137.45,2.02,1.85,-3.76,33.75,"",""
137.50,1.64,1.60,-4.86,-21.98,"",""
137.55,1.82,1.49,-2.31,50.99,"",""
137.60,0.86,1.12,-7.28,-99.33,"",""
137.65,-0.42,0.48,-12.85,-111.51,"",""
137.70,-0.98,-0.15,-12.63,4.52,"",""
137.75,-1.44,-0.74,-11.85,15.59,"",""
137.80,-1.35,-1.14,-7.96,77.71,"",""
137.85,0.78,-0.78,7.14,302.13,"",""
137.90,-2.90,-1.61,-16.61,-475.08,"",""
137.95,-2.78,-2.18,-11.29,106.35,"",""
138.00,-3.01,-2.65,-9.47,36.55,"",""
138.05,-2.81,-2.93,-5.53,78.65,"",""
138.10,-2.69,-3.08,-3.12,48.31,"",""
138.15,-2.70,-3.19,-2.12,19.87,"Landed (Inferred)",""
138.20,-2.78,-3.28,-1.82,6.09,"",""
138.25,-2.80,-3.34,-1.24,11.53,"",""
138.30,-2.97,-3.43,-1.73,-9.68,"",""
138.35,-2.81,-3.44,-0.11,32.32,"",""
138.40,-2.85,-3.44,-0.13,-0.38,"",""
138.45,-2.80,-3.42,0.39,10.33,"",""
138.50,-2.87,-3.42,0.04,-6.98,"",""
138.55,-2.90,-3.42,0.01,-0.52,"",""
138.60,-2.78,-3.38,0.88,17.45,"",""
138.65,-2.79,-3.34,0.74,-2.93,"",""
138.70,-2.95,-3.35,-0.28,-20.33,"",""
138.75,-2.73,-3.29,1.25,30.49,"",""
138.80,-2.81,-3.26,0.56,-13.71,"",""
138.85,-2.69,-3.20,1.25,13.76,"",""
138.90,-2.76,-3.17,0.61,-12.83,"",""
138.95,-2.84,-3.17,0.07,-10.78,"",""
139.00,-2.76,-3.14,0.63,11.15,"",""
139.05,-2.67,-3.08,1.09,9.30,"",""
139.10,-2.74,-3.06,0.47,-12.48,"",""
139.15,-2.66,-3.01,0.90,8.71,"",""
139.20,-2.75,-3.00,0.20,-14.10,"",""
139.25,-2.67,-2.97,0.69,9.93,"",""
139.30,-2.75,-2.96,0.10,-11.97,"",""
139.35,-2.81,-2.97,-0.23,-6.49,"",""
139.40,-2.74,-2.96,0.31,10.77,"",""
139.45,-2.75,-2.95,0.22,-1.74,"",""
139.50,-2.67,-2.91,0.69,9.46,"",""
139.55,-2.75,-2.91,0.08,-12.31,"",""
139.60,-2.62,-2.87,0.88,16.08,"",""
139.65,-2.62,-2.83,0.69,-3.83,"",""
139.70,-2.65,-2.81,0.37,-6.49,"",""
139.75,-2.74,-2.82,-0.23,-12.03,"",""
139.80,-2.76,-2.84,-0.26,-0.49,"",""
139.85,-2.72,-2.83,0.08,6.81,"",""
139.90,-2.63,-2.80,0.63,10.98,"",""
139.95,-2.69,-2.79,0.13,-9.96,"",""
140.00,-2.65,-2.78,0.36,4.63,"",""
140.05,-2.69,-2.77,0.05,-6.23,"",""
140.10,-2.52,-2.72,1.08,20.58,"",""
140.15,-2.69,-2.73,-0.20,-25.70,"",""
140.20,-2.58,-2.70,0.53,14.65,"",""
140.25,-2.65,-2.70,-0.01,-10.84,"",""
140.30,-2.60,-2.69,0.31,6.39,"",""
140.35,-2.60,-2.68,0.24,-1.32,"",""
140.40,-2.67,-2.69,-0.23,-9.39,"",""
140.45,-2.67,-2.70,-0.15,1.47,"",""
140.50,-2.70,-2.71,-0.28,-2.52,"",""
140.55,-2.62,-2.70,0.29,11.34,"",""
140.60,-2.78,-2.73,-0.74,-20.47,"",""
140.65,-2.59,-2.70,0.61,26.93,"",""
140.70,-2.74,-2.72,-0.44,-20.99,"",""
140.75,-2.64,-2.71,0.29,14.54,"",""
140.80,-2.71,-2.72,-0.20,-9.71,"",""
140.85,-2.59,-2.69,0.58,15.64,"",""
140.90,-2.69,-2.70,-0.16,-14.91,"",""
140.95,-2.67,-2.70,0.01,3.41,"",""
141.00,-2.65,-2.69,0.13,2.51,"",""
141.05,-2.72,-2.71,-0.31,-8.97,"",""
141.10,-2.72,-2.72,-0.22,1.80,"",""
141.15,-2.82,-2.76,-0.76,-10.67,"",""
141.20,-2.67,-2.74,0.35,22.16,"",""
141.25,-2.71,-2.74,0.03,-6.50,"",""
141.30,-2.68,-2.73,0.21,3.60,"",""
141.35,-2.78,-2.75,-0.44,-12.96,"",""
141.40,-2.69,-2.74,0.22,13.26,"",""
141.45,-2.72,-2.74,-0.01,-4.64,"",""
141.50,-2.78,-2.76,-0.36,-7.03,"",""
141.55,-2.67,-2.74,0.40,15.23,"",""
141.60,-2.64,-2.71,0.48,1.60,"",""
141.65,-2.62,-2.69,0.48,-0.04,"",""
141.70,-2.65,-2.68,0.17,-6.05,"",""
141.75,-2.64,-2.67,0.19,0.33,"",""
141.80,-2.75,-2.70,-0.52,-14.17,"",""
141.85,-2.68,-2.69,0.04,11.18,"",""
141.90,-2.66,-2.69,0.15,2.23,"",""
141.95,-2.65,-2.68,0.18,0.44,"",""
142.00,-2.75,-2.70,-0.47,-12.89,"",""
142.05,-2.67,-2.69,0.14,12.12,"",""
142.10,-2.50,-2.64,1.12,19.72,"",""
142.15,-2.70,-2.66,-0.37,-29.91,"",""
142.20,-2.60,-2.64,0.33,13.97,"",""
142.25,-2.62,-2.63,0.12,-4.12,"",""
142.30,-2.69,-2.65,-0.33,-9.04,"",""
142.35,-2.61,-2.64,0.24,11.35,"",""
142.40,-2.55,-2.61,0.53,5.96,"",""
142.45,-2.67,-2.63,-0.33,-17.23,"",""
142.50,-2.75,-2.66,-0.72,-7.88,"",""
142.55,-2.64,-2.66,0.13,17.02,"",""
142.60,-2.61,-2.64,0.28,2.93,"",""
142.65,-2.55,-2.62,0.56,5.75,"",""
142.70,-2.59,-2.61,0.17,-7.78,"",""
142.75,-2.70,-2.63,-0.53,-14.14,"",""
142.80,-2.71,-2.66,-0.45,1.60,"",""
142.85,-2.77,-2.69,-0.69,-4.80,"",""
142.90,-2.75,-2.71,-0.39,6.09,"",""
142.95,-2.66,-2.70,0.26,12.90,"",""
143.00,-2.67,-2.69,0.13,-2.51,"",""
143.05,-2.61,-2.67,0.46,6.54,"",""
143.10,-2.79,-2.71,-0.74,-24.00,"",""
143.15,-2.72,-2.71,-0.12,12.35,"Landed (Detected)","Beeped Max Alt"
